,iter,depth,loss function,data set,Unnamed: 0,MSE,R2
0,50,1,exponential,test,410,0.06886212285018538,-1.004204680356594
1,50,1,exponential,train,409,0.06886216894303818,-1.0038665551359833
2,50,1,linear,test,408,0.06886210597251358,-1.0042041890583506
3,50,1,linear,train,407,0.06886215206508711,-1.0038660639944
4,50,1,square,test,406,0.06885309449233074,-1.0039419311796034
5,50,1,square,train,405,0.0688531377016136,-1.0036037431747478
6,50,2,exponential,test,416,0.06883435846963218,-1.0033964079799484
7,50,2,exponential,train,415,0.06883437582708243,-1.0030577809591055
8,50,2,linear,test,414,0.06883433705988704,-1.0033957847543618
9,50,2,linear,train,413,0.06883435441515803,-1.0030571578800995
10,50,2,square,test,412,0.06881804350417763,-1.0029217016115157
11,50,2,square,train,411,0.06881805963219101,-1.0025829662039931
12,50,3,exponential,test,422,0.0688262187755894,-1.0031599445408228
13,50,3,exponential,train,421,0.06882583083082752,-1.0028091260795167
14,50,3,linear,test,420,0.06882619718738497,-1.0031593161571903
15,50,3,linear,train,419,0.06882580921535916,-1.0028084970766944
16,50,3,square,test,418,0.0688128620259762,-1.0027710244688266
17,50,3,square,train,417,0.06881258829641601,-1.002423774213889
18,50,5,exponential,test,428,0.06881133660436342,-1.002727250453742
19,50,5,exponential,train,427,0.06880990555409029,-1.0023456915545887
20,50,5,linear,test,426,0.06881130023329846,-1.0027261869878599
21,50,5,linear,train,425,0.0688098787488257,-1.0023449116889078
22,50,5,square,test,424,0.06879650340553244,-1.0022952355472357
23,50,5,square,train,423,0.06879534714415028,-1.0019220590422822
24,50,10,exponential,test,434,0.06878581850759836,-1.0019859585446471
25,50,10,exponential,train,433,0.06878109814162492,-1.0015073682312372
26,50,10,linear,test,432,0.06878583511865112,-1.0019864266648983
27,50,10,linear,train,431,0.06878106523743939,-1.001506410730418
28,50,10,square,test,430,0.06875877120215199,-1.0011991692406288
29,50,10,square,train,429,0.06875344808636101,-1.00070272308322
30,100,1,exponential,test,440,0.06854534313000546,-0.9949835144631216
31,100,1,exponential,train,439,0.06854538392601563,-0.9946482294631271
32,100,1,linear,test,438,0.06854530859038147,-0.9949825090384767
33,100,1,linear,train,437,0.0685453493857544,-0.9946472243553368
34,100,1,square,test,436,0.06850275055477327,-0.993744191932947
35,100,1,square,train,435,0.06850276880703503,-0.9934080911662017
36,100,2,exponential,test,446,0.06848803697233438,-0.9933152882987708
37,100,2,exponential,train,445,0.06848803730309233,-0.9929794532610605
38,100,2,linear,test,444,0.0684879927217866,-0.9933140002014534
39,100,2,linear,train,443,0.06848799304845497,-0.9929781654668519
40,100,2,square,test,442,0.06843114043412009,-0.9916589043141159
41,100,2,square,train,441,0.06843080461624139,-0.9913140189406053
42,100,3,exponential,test,452,0.06847225516061146,-0.9928567035735515
43,100,3,exponential,train,451,0.06847181138949633,-0.9925072862974247
44,100,3,linear,test,450,0.06847221059064543,-0.9928554062448637
45,100,3,linear,train,449,0.06847176678828695,-0.9925059884164706
46,100,3,square,test,448,0.06842192724251736,-0.9913911972386291
47,100,3,square,train,447,0.06842135292622926,-0.9910390011194791
48,100,5,exponential,test,458,0.06844193858183527,-0.9919749842049805
49,100,5,exponential,train,457,0.06843951918948986,-0.9915675837498122
50,100,5,linear,test,456,0.06844188656283294,-0.9919734693765465
51,100,5,linear,train,455,0.06843946764382441,-0.9915660837521798
52,100,5,square,test,454,0.06838477417357425,-0.9903110032994473
53,100,5,square,train,453,0.06838227667337375,-0.9899018553435237
54,100,10,exponential,test,464,0.06838686788604552,-0.9903753897358369
55,100,10,exponential,train,463,0.06837691360135502,-0.9897456897233408
56,100,10,linear,test,462,0.06838683713347553,-0.9903744691563263
57,100,10,linear,train,461,0.06837684556873114,-0.9897437099829098
58,100,10,square,test,460,0.06828958221860551,-0.9875449861838774
59,100,10,square,train,459,0.06827762870595323,-0.9868564327284048
60,150,1,exponential,test,470,0.06822240818154138,-0.9855831829079333
61,150,1,exponential,train,469,0.06822244346125347,-0.985250782681413
62,150,1,linear,test,468,0.06822235481782254,-0.9855816295300988
63,150,1,linear,train,467,0.06822239009643129,-0.9852492297862326
64,150,1,square,test,466,0.06811226043581026,-0.9823782774614811
65,150,1,square,train,465,0.06811220101749739,-0.9820426137177046
66,150,2,exponential,test,476,0.0681330815034287,-0.9829828425289978
67,150,2,exponential,train,475,0.06813302329991344,-0.9826486726500925
68,150,2,linear,test,474,0.06813301236661097,-0.9829808300216302
69,150,2,linear,train,473,0.06813295415450053,-0.9826466605425364
70,150,2,square,test,472,0.06801122409311297,-0.9794351692182399
71,150,2,square,train,471,0.06801045167124004,-0.9790819367383035
72,150,3,exponential,test,482,0.0681104970795748,-0.9823265609407292
73,150,3,exponential,train,481,0.0681101684332582,-0.9819836032957919
74,150,3,linear,test,480,0.06811043462073325,-0.9823247417826912
75,150,3,linear,train,479,0.06811010367781646,-0.9819817190148165
76,150,3,square,test,478,0.06800364002963379,-0.9792153741533113
77,150,3,square,train,477,0.06800267094296197,-0.9788555479881061
78,150,5,exponential,test,488,0.06806463510013841,-0.9809927399166337
79,150,5,exponential,train,487,0.06806104020109327,-0.9805539813950779
80,150,5,linear,test,486,0.06806456123381263,-0.9809905904166432
81,150,5,linear,train,485,0.06806096133831954,-0.9805516865412406
82,150,5,square,test,484,0.06793832901918564,-0.9773162635818642
83,150,5,square,train,483,0.06793451433914033,-0.9768721363928796
84,150,10,exponential,test,494,0.06797596234663704,-0.9784166722643037
85,150,10,exponential,train,493,0.06796046357901103,-0.9776271221784754
