,MSE,R2,data set,depth,iter,loss function
0,102.83045475749411,0.9124991791575852,test,15,50,exponential
1,27.228957535152126,0.9768473569244478,train,15,50,exponential
2,85.59498883424607,0.9253767388980254,evaluation,15,21,exponential
