num,Hc1zero,Hc2zero,Tc,b300,cohere,curiet,dHc2dt,debyet,dens,dtcdp,element,g300,gamma,gap,gapene,gapmeth,isoel,isotope,lata,latb,latc,moment,nHc1zero,nHc2zero,ncohere,ndHc2dto,neelt,npenet,pHc1zero,pHc2zero,pcohere,pdHc2dto,penet,ppenet,rh300,rh300n,rh300p,spheat,spjump,str3,thc300,tp300,tp300p,uHc1,uHc2,ub,ucohere,udHc2dt,udtcdp,ug,ugamma,ugap,uhall,ujump,umoment,upenet,uthc,utp,uye,ye300
9679,,,65.0,,,,,,,,Y1Ba2Cu3.88Fe0.12O8,,,,,,,,3.8718,3.9113,27.131,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9680,,,61.0,,,,,,,,Y1Ba2Cu3.84Fe0.16O8,,,,,,,,3.8678,3.8865,27.980999999999998,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9681,,,,,,,,,,,Sr2Y1Ru0.97Cu0.03O6,,,,,,,,5.7548,5.7852,8.1728,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9682,,,5.1,,,,,,,,Sr2Y1Ru0.96Cu0.04O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9683,,,11.9,,,,,,,,Sr2Y1Ru0.95Cu0.05O6,,,,,,,,5.7551,5.7841,8.1729,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9684,,,17.6,,,,,,,,Sr2Y1Ru0.92Cu0.08O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9685,,,20.4,,,,,,,,Sr2Y1Ru0.9Cu0.1O6,,,,,,,,5.7555,5.7868,8.1737,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9686,,,23.0,,,,,,,,Sr2Y1Ru0.8Cu0.2O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9687,,,61.5,,,,,,,,Sr2Y1Ru0.5Cu0.5O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9688,,,45.0,,,,,,,,Sr2Y1Ru0.5Cu0.5O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9689,,,,,,,,,,,Ba2Gd1Ru0.9Cu0.1O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9690,,,1.5,,,,,,,,Sr2Ru1O4,,,,,,O,0.18,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9691,,,1.35,,,,,,,,Sr2Ru1O4,,,,,,O,-0.04,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9692,,,78.0,,,15.4,,,,,Y1Ba2Cu4O8,,,,,,,,3.8538,3.8745,27.267,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9693,,,73.0,,,7.6,,,,,Y1Ba2Cu3.96Fe0.04O8,,,,,,,,3.8623,3.8823,27.21,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9694,,,70.0,,,-0.6,,,,,Y1Ba2Cu3.92Fe0.08O8,,,,,,,,3.8792,3.9084,27.138,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9695,,,65.0,,,-12.3,,,,,Y1Ba2Cu3.88Fe0.12O8,,,,,,,,3.8718,3.9113,27.131,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9696,,,61.0,,,,,,,,Y1Ba2Cu3.84Fe0.16O8,,,,,,,,3.8678,3.8865,27.980999999999998,,,,,,,,,,,,,,,,,,,Y124,,,,,,,,,,,,,,,,,,,,
9697,,,19.0,,,,,,,,Bi1.8Pb0.38Sr2.01Cu1O6-z,,,14.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,Bi2201,,,,,,,,,,,,meV,,,,,,,,
9698,,,84.7,,,,,,,,Bi2Sr2Ca1Cu2O8,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,Bi2212,,,,,T,,,,,,,,,,,,,,,
9699,,,60.0,,,,,,,,Sr2Y1Ru0.9Cu1O6-z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9700,,,65.0,,,,,,,,Ba2Y1Ru0.9Cu0.1O6-z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,
9701,,,59.0,,,,,,,,Pb2Sr2Eu0.95Ca0.05Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9702,,,69.0,,,,,,,,Pb2Sr2Eu0.9Ca0.1Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9703,,,71.0,,,,,,,,Pb2Sr2Eu0.85Ca0.15Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9704,,,73.0,,,,,,,,Pb2Sr2Eu0.8Ca0.2Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9705,,,74.0,,,,,,,,Pb2Sr2Eu0.75Ca0.25Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9706,,,73.0,,,,,,,,Pb2Sr2Eu0.7Ca0.3Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9707,,,71.0,,,,,,,,Pb2Sr2Eu0.65Ca0.35Cu3O8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pb3212,,,,,,,,,,,,,,,,,,,,
9708,,,35.0,,,,,,,,Ru1Sr2Eu1Cu2O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9709,,,48.0,,,,,,,,Ru1Sr2Gd1Cu2O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9710,,,58.0,,,,,,,,Ru1Sr2Gd0.6Dy0.4Cu2O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9711,,,39.0,,,,,,,,Ru1Sr1.6Ba0.4Gd1Cu2O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9712,,,45.0,,,,,,,,Ru1Sr2Gd1Cu2O8+z,,,,,,,,3.8375,,11.5623,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9713,,,65.0,,,,,,,,Ru0.9Sr2Gd1Cu2.1O8+z,,,,,,,,3.8353,,11.5362,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9714,,,70.0,,,,,,,,Ru0.8Sr2Gd1Cu2.2O8+z,,,,,,,,3.8278,,11.5263,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9715,,,72.0,,,,,,,,Ru0.7Sr2Gd1Cu2.3O8+z,,,,,,,,3.827,,11.512,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9716,,,72.0,,,,,,,,Ru0.6Sr2Gd1Cu2.4O8+z,,,,,,,,3.8238,,11.5066,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9717,,,62.0,,,,,,,,Ru0.25Sr2Gd1Cu2.75O8+z,,,,,,,,3.8197,,11.4581,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9718,,,16.5,,,-6.4,,219.0,,,Sm1.85Ce0.15Cu1O4-z,,103.2,,,,,,,,,0.36,,,,,4.7,,,,,,,,,,,,,T',,,,,,,,,,,,,,,per mol,,,,,
9719,,,33.5,,,,,,,,Ru1Sr2Gd1Cu2Oz,,,,,,,,3.838,,11.559000000000001,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9720,,,22.5,,,,,,,,Ru0.95Ta0.05Sr2Gd1Cu2Oz,,,,,,,,3.839,,11.565,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9721,,,,,,,,,,,Ru0.85Ta0.15Sr2Gd1Cu2Oz,,,,,,,,3.843,,11.573,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9722,,,40.0,,,,,,,,Ru1Sr2Gd1.4Ce0.6Cu2Oz,,,,,,,,3.844,,28.615,,,,,,,,,,,,,,,,,,,Ru1222,,,,,,,,,,,,,,,,,,,,
9723,,,51.6,,,,,,,,Tl1Sr1.75Th0.25Ca1Cu2O7,,,,,,,,3.801,,12.099,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9724,,,55.3,,,,,,,,Tl1Sr1.65Th0.35Ca1Cu2O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9725,,,52.5,,,,,,,,Tl1Sr2Ca0.75Th0.25Cu2O7,,,,,,,,3.8,,12.094000000000001,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9726,,,55.3,,,,,,,,Tl1Sr2Ca0.65Th0.35Cu2O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9727,,,79.0,,,,,,,,Tl1Sr1.5Gd0.5Ca1Cu2O7,,,,,,,,3.805,,12.026,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9728,,,80.0,,,,,,,,Tl1Sr1.5Tb0.5Ca1Cu2O7,,,,,,,,3.7960000000000003,,12.014000000000001,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9729,,,80.0,,,,,,,,Tl1Sr1.5Dy0.5Ca1Cu2O7,,,,,,,,3.795,,12.001,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9730,,,80.0,,,,,,,,Tl1Sr1.5Ho0.5Ca1Cu2O7,,,,,,,,3.7939999999999996,,11.995999999999999,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9731,,,78.0,,,,,,,,Tl1Sr1.5Er0.5Ca1Cu2O7,,,,,,,,3.787,,11.997,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9732,,,84.0,,,,,,,,Tl1Sr1.5Tm0.5Ca1Cu2O7,,,,,,,,3.785,,11.982999999999999,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9733,,,84.0,,,,,,,,Tl1Sr1.5Yb0.5Ca1Cu2O7,,,,,,,,3.783,,11.981,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9734,,,90.0,,,,,,,,Tl1Sr1.5La0.5Ca1Cu2O7,,,,,,,,3.807,,12.071,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9735,,,5.0,,,,,,,,Tl1Sr1.5Ce0.5Ca1Cu2O7,,,,,,,,3.8080000000000003,,12.027000000000001,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9736,,,88.0,,,,,,,,Tl1Sr1.5Pr0.5Ca1Cu2O7,,,,,,,,3.8089999999999997,,12.047,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9737,,,88.0,,,,,,,,Tl1Sr1.5Nd0.5Ca1Cu2O7,,,,,,,,3.8089999999999997,,12.046,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9738,,,86.0,,,,,,,,Tl1Sr1.5Sm0.5Ca1Cu2O7,,,,,,,,3.803,,12.030999999999999,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9739,,,88.0,,,,,,,,Tl1Sr1.5Eu0.5Ca1Cu2O7,,,,,,,,3.801,,12.024000000000001,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9740,,,82.0,,,,,,,,Tl1Sr1.5Lu0.5Ca1Cu2O7,,,,,,,,3.782,,11.98,,,,,,,,,,,,,,,,,,,Tl1212,,,,,,,,,,,,,,,,,,,,
9741,,,75.0,,,,,,,,Ca5.9Sr3.5Bi0.3Y0.1Pb0.1Al0.1Cu15.1O29,,,,,,,,11.315999999999999,12.763,19.49,,,,,,,0.6,,,,,,2.5,,,,,,LAD,,,,,,,,,,,,,,,,um,,,,
9742,,,26.0,,,,,,,,Ru0.92Ce0.58Sr1.7Eu1.8Cu2O10,,,,,,,,3.8424,,28.559,,,,,,,,,,,,,,,,,,,Ru1222,,,,,,,,,,,,,,,,,,,,
9743,,,35.0,,,,,,,,Ru1Sr2Gd1Cu2O8,,,,,,,,3.8375,,11.562999999999999,,,,,,132.0,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9744,,,13.0,,,,,,,,Ru1Sr2Gd0.98Ce0.02Cu2O8,,,,,,,,3.8387,,11.5621,,,,,,136.0,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9745,,,,,,,,,,,Ru1Sr2Gd0.95Ce0.05Cu2O8,,,,,,,,3.8406,,11.5703,,,,,,145.0,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9746,,,61.0,,,,,,,,Ru1Sr2Gd0.9Ca0.1Cu2O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ru1212,,,,,,,,,,,,,,,,,,,,
9747,,,84.4,,,,,,,,Eu1Ba2Cu3O7,,,,,,,,3.8021,3.8453,11.5821,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9748,,,68.3,,,,,,,,Eu0.9Pr0.1Ba2Cu3O7,,,,,,,,3.8305,3.8463,11.6157,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9749,,,63.0,,,,,,,,Eu0.8Pr0.2Ba2Cu3O7,,,,,,,,3.8551,,11.6106,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9750,,,53.8,,,,,,,,Eu0.7Pr0.3Ba2Cu3O7,,,,,,,,3.8579,,11.597999999999999,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9751,,,37.8,,,,,,,,Eu0.6Pr0.4Ba2Cu3O7,,,,,,,,3.8596,,11.5989,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9752,,,26.7,,,,,,,,Eu0.5Pr0.5Ba2Cu3O7,,,,,,,,38586.0,,11.5938,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9753,,,,,,,,,,,Eu0.4Pr0.6Ba2Cu3O7,,,,,,,,3.8649,,11.5959,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9754,,,98.0,,,,,,,,Hg1Ba2Cu1O4.09,,,,,,,,3.8817,,9.5339,,,,,,,,,,,,,,,,,,,Hg1201,,,,,,,,,,,,,,,,,,,,
9755,,,15.0,,,,,,,,Ho1Nb1O3-z,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,ABO3,,,,,,,,,,,,,,,per Ho,,,,,
9756,,,6.0,,,4.4,,,,,Eu1Nb1O3-z,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,ABO3,,,,,,,,,,,,,,,per Eu,,,,,
9757,,,90.38,,,,,,,,Bi2Sr2Ca1Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9758,,,87.56,,,,,,,,Bi2Sr2Ca0.97Y0.03Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9759,,,82.0,,,,,,,,Bi2Sr2Ca0.95Y0.05Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9760,,,70.78,,,,,,,,Bi2Sr2Ca0.92Y0.08Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9761,,,56.1,,,,,,,,Bi2Sr2Ca0.89Y0.11Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9762,,,88.67,,,,,,,,Bi2Sr1.9La0.1Ca1Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,2.11,,,,,,,,,,,,,,,,uV/K,,
9763,,,85.3,,,,,,,,Bi2Sr1.8La0.2Ca1Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,4.21,,,,,,,,,,,,,,,,uV/K,,
9764,,,76.3,,,,,,,,Bi2Sr1.7La0.3Ca1Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,6.84,,,,,,,,,,,,,,,,uV/K,,
9765,,,60.73,,,,,,,,Bi2Sr1.6La0.4Ca1Cu2Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,10.92,,,,,,,,,,,,,,,,uV/K,,
9766,,,88.9,,,,,,,1.7,Tl2Ba2Cu1O6+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tl2201,,,,,,,,,K/Gpa,,,,,,,,,,,
9767,,,40.0,,,,,,,-4.3,Tl2Ba2Cu1O6+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tl2201,,,,,,,,,K/Gpa,,,,,,,,,,,
9768,,,93.3,,,,,,,,Nd1Ba2Cu3O7-z,,,,,,,,,,11.7539,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9769,,,84.4,,,,,,,,Nd0.95Pr0.05Ba2Cu3O7-z,,,,,,,,,,11.7514,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9770,,,73.0,,,,,,,,Nd0.9Pr0.1Ba2Cu3O7-z,,,,,,,,,,11.7437,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9771,,,59.7,,,,,,,,Nd0.85Pr0.15Ba2Cu3O7-z,,,,,,,,,,11.7435,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9772,,,92.81,,,,,,,,Nd1Ba2Cu3O7-z,,,,,,,,3.8719,3.9215,11.7399,,,,,,,,,,,,,,,,,,,Y123,,8.93,,,,,,,,,,,,,,,,uV/K,,
9773,,,90.36,,,,,,,,Nd0.97Ca0.03Ba2Cu3O7-z,,,,,,,,3.8674,3.917,11.7423,,,,,,,,,,,,,,,,,,,Y123,,4.96,,,,,,,,,,,,,,,,uV/K,,
9774,,,88.0,,,,,,,,Nd0.94Ca0.06Ba2Cu3O7-z,,,,,,,,3.8652,3.9104,11.751,,,,,,,,,,,,,,,,,,,Y123,,4.86,,,,,,,,,,,,,,,,uV/K,,
9775,,,85.34,,,,,,,,Nd0.9Ca0.1Ba2Cu3O7-z,,,,,,,,3.8607,3.9044,11.751,,,,,,,,,,,,,,,,,,,Y123,,4.22,,,,,,,,,,,,,,,,uV/K,,
9776,,,91.78,,,,,,,,Nd0.95La0.05Ba2Cu3O7-z,,,,,,,,3.8686,3.9174,11.7441,,,,,,,,,,,,,,,,,,,Y123,,10.3,,,,,,,,,,,,,,,,uV/K,,
9777,,,91.09,,,,,,,,Nd0.9La0.1Ba2Cu3O7-z,,,,,,,,3.8680000000000003,3.9092,11.754000000000001,,,,,,,,,,,,,,,,,,,Y123,,10.98,,,,,,,,,,,,,,,,uV/K,,
9778,,,89.21,,,,,,,,Nd0.85La0.15Ba2Cu3O7-z,,,,,,,,3.8680000000000003,3.9086,11.7561,,,,,,,,,,,,,,,,,,,Y123,,11.02,,,,,,,,,,,,,,,,uV/K,,
9779,,,86.0,,,,,,,,Tl1Sr2Ca2Cu3Oz,,,,,,,,3.8121,,15.2384,,,,,,,,,,,,,,,,,,,Tl1223,,,,,,,,,,,,,,,,,,,,
9780,,,92.0,,,,,,,,Tl0.8Sr2Ca2Cu3.2Oz,,,,,,,,3.81,,15.2679,,,,,,,,,,,,,,,,,,,Tl1223,,,,,,,,,,,,,,,,,,,,
9781,,,73.0,,,,,,,,Tl0.6Sr2Ca2Cu3.4Oz,,,,,,,,3.8073,,15.280999999999999,,,,,,,,,,,,,,,,,,,Tl1223,,,,,,,,,,,,,,,,,,,,
9782,,,71.0,,,,,,,,Tl0.4Sr2Ca2Cu3.6Oz,,,,,,,,3.8073,,15.3118,,,,,,,,,,,,,,,,,,,Tl1223,,,,,,,,,,,,,,,,,,,,
9783,,,94.0,,,,,,,,Tl0.6Sr2Ca2Cu3.4Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tl1223,,,,,,,,,,,,,,,,,,,,
9784,,,87.0,,,,,,,,Bi2Sr2Ca1Cu2Oz,,,26.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,meV,,,,,,,,
9785,,,92.0,,,,,,,,Bi2Sr2Ca1Cu2Oz,,,35.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,meV,,,,,,,,
9786,,,87.0,,,,,,,,Bi2Sr2Ca1Cu2Oz,,,45.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,meV,,,,,,,,
9787,,,84.0,,,,,,,,Bi2Sr2Ca1Cu2Oz,,,32.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,meV,,,,,,,,
9788,,,82.0,,,,,,,,Bi2Sr2Ca1Cu2Oz,,,33.5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,meV,,,,,,,,
9789,,,15.0,,,,,,,,La1.5Pb0.5Cu1Oz,,,,,,,,5.348,5.3662,13.2193,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9790,,,22.0,,,,,,,,La1.5Pb0.47Sr0.03Cu1Oz,,,,,,,,3.7895,,13.2064,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9791,,,27.0,,,,,,,,La1.5Pb0.45Sr0.05Cu1Oz,,,,,,,,3.7863,,13.2086,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9792,,,34.0,,,,,,,,La1.5Pb0.42Sr0.08Cu1Oz,,,,,,,,3.784,,13.2078,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9793,,,36.0,,,,,,,,La1.5Pb0.4Sr0.1Cu1Oz,,,,,,,,3.7818,,13.2095,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9794,,,38.0,,,,,,,,La1.5Pb0.35Sr0.15Cu1Oz,,,,,,,,3.7802,,13.212,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
9795,,,85.05,,,,,,,,Bi2Sr2Ca1Cu2O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9796,,,84.82,,,,,,,,Bi2Sr2Ca1Cu1.9Sn0.1O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9797,,,84.5,,,,,,,,Bi2Sr2Ca1Cu1.8Sn0.2O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9798,,,83.76,,,,,,,,Bi2Sr2Ca1Cu1.7Sn0.3O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9799,,,82.34,,,,,,,,Bi2Sr2Ca1Cu1.6Sn0.4O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9800,,,80.31,,,,,,,,Bi2Sr2Ca1Cu1.5Sn0.5O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9801,,,,,,,,,,,Bi2Sr2Ca1Cu1.3Sn0.7O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9802,,,,,,,,,,,Bi2Sr2Ca1Cu1Sn1O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9803,,,27.5,,,,,,,,Cd0.67Bi0.23Pb0.1Sr2Y1Cu2O7-z,,,,,,,,3.7969999999999997,,11.968,,,,,,,,,,,,,,,,,,,1212,,,,,,,,,,,,,,,,,,,,
9804,,,84.7,,,,,,,,Bi2Sr2Ca1Cu2O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9805,,,69.4,,,,,,,,Bi2Sr2Ca0.8Pr0.2Cu2O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9806,,,43.5,,,,,,,,Bi2Sr2Ca0.6Pr0.4Cu2O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9807,,,4.8,,,,,,,,Bi2Sr2Ca0.4Pr0.6Cu2O8+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bi2212,,,,,,,,,,,,,,,,,,,,
9808,,,91.9,,,,,,,,Y1Ba2Cu3Oz,,,,,,,,3.8856,3.8211,11.6869,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9809,,,91.4,,,,,,,,Y1Ba1.95Na0.05Cu3Oz,,,,,,,,3.8824,3.8182,11.6774,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9810,,,88.4,,,,,,,,Y1Ba1.9Na0.1Cu3Oz,,,,,,,,3.8763,3.8155,11.6609,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9811,,,90.3,,,,,,,,Y1Ba1.85Na0.15Cu3Oz,,,,,,,,3.8719,3.8101,11.6538,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9812,,,90.8,,,,,,,,Y1Ba1.8Na0.2Cu3Oz,,,,,,,,3.8684,3.8073,11.6483,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9813,,,91.4,,,,,,,,Y1Ba1.95K0.05Cu3Oz,,,,,,,,3.8802,3.8159,11.657,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9814,,,77.3,,,,,,,,Y1Ba1.9K0.1Cu3Oz,,,,,,,,3.8744,3.8127,11.6534,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
9815,,,64.4,,,,,,,,Y1Ba1.85K0.15Cu3Oz,,,,,,,,3.8753,3.8129,11.6558,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
