num,Hc1zero,Hc2zero,Tc,b300,cohere,curiet,dHc2dt,debyet,dens,dtcdp,element,g300,gamma,gap,gapene,gapmeth,isoel,isotope,lata,latb,latc,moment,nHc1zero,nHc2zero,ncohere,ndHc2dto,neelt,npenet,pHc1zero,pHc2zero,pcohere,pdHc2dto,penet,ppenet,rh300,rh300n,rh300p,spheat,spjump,str3,thc300,tp300,tp300p,uHc1,uHc2,ub,ucohere,udHc2dt,udtcdp,ug,ugamma,ugap,uhall,ujump,umoment,upenet,uthc,utp,uye,ye300
50,,,79.3,,,,,,,,Yb1.62La0.18Ba0.18Sr0.02Cu1Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,90.0,,,,,,,,Y0.4Ba0.6Cu1OX,,,,,,,,5.51,,5.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,90.5,,,,,,,,Y0.4Ba0.6Cu1OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,92.0,,,,,,,,Er0.5Ba0.5Cu1OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,93.2,,,,,,,,Tm0.35Ba0.65Cu1OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,94.4,,,,,,,,Tm0.3Ba0.7Cu1OX,,,,,,,,3.89,3.81,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,93.2,,,,,,,,Tm0.25Ba0.75Cu1OX,,,,,,,,3.89,3.81,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,80.5,,,,,,,,Tm0.2Ba0.8Cu1OX,,,,,,,,3.89,3.81,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,48.0,,,,,,,,La2Ba4Cu6O14+X,,,,,,,,5.545,,11.73,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,90.0,,,,,,,,Y1Ba2Cu3OX,,,,,,,,3.824,3.889,11.687000000000001,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
60,,,90.0,,,,,,,,Y1.6Ba2.4Cu3O10-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
