,fit num,MSE,R2,unc. Tc,lambda,data set,par0,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38,par39,par40,par41,par42,par43,par44,par45,par46,par47,par48,par49,par50,par51,par52,par53,par54,par55,par56,par57,par58,par59,par60,par61,par62,par63,par64,par65,par66,par67,par68,par69,par70,par71,par72,par73,par74,par75,par76,par77,par78,par79,par80,par81
12,6,0.008909607897414596,0.7394811319355479,17.462283077794112,-1,train,0.18624558767761595,-0.025055201532958045,0.13260366504645155,-0.1520264333978548,-0.08375207328139271,0.11750497858764264,-0.0645247361822601,0.008102115917870231,0.061667646293297476,0.0027138569924154074,-0.05780789602158916,0.0072677904938952195,0.07540276636268223,-0.12274110374728157,-0.06418986337883963,0.11295467067931497,-0.22379071266195147,0.07904526280427261,0.11364550844784714,0.026110125268706708,-0.1185201971858561,-0.01693940896801726,-0.05779684380717583,0.4951797635936453,0.024910795658080354,-0.5433361335798883,0.1353512642329226,0.10023782862631703,0.06973435773904323,-0.015804310065548784,-0.042273802290601445,-0.045455253080954224,-0.07122342914249856,-0.0061708162830148156,0.02261002907205273,0.0534877129002319,0.02758396705292893,-0.03123335246113051,-0.03594320126347161,0.000314062480564814,0.05483911327481271,-0.012288992123101639,-0.0205358690181581,0.09535497123289077,0.03434996533427518,-0.10498490794013352,0.004201763976089054,-0.02984491736344122,-0.11686240679205237,-0.01868255823215082,0.14677873153140683,-0.06199188041386598,0.10374559508177053,-0.14149524865795365,-0.08235089054774504,0.10792261997043492,-0.04181502552121952,0.04864429139163508,-0.04068233754339909,0.036185512109716766,-0.026324700070032528,0.028005327068788805,-0.014157945143623688,0.13107460907696733,-0.009955450026424145,-0.0717649405702087,0.019255721246564897,0.0021131540225456102,-0.06864223913249654,-0.053926441860629934,0.08550186619995544,-0.00245815297290204,-0.0969998560407168,0.14481580574209224,0.11746184121226463,-0.16615179526782645,0.16363878904446516,-0.1470640398154105,0.033448429765217697,-0.005717414422722469,0.01635347290721864,-0.05983954113333839
13,6,0.009933197733357576,0.7163868574727581,18.438104360919617,-1,test,0.18624558767761595,-0.025055201532958045,0.13260366504645155,-0.1520264333978548,-0.08375207328139271,0.11750497858764264,-0.0645247361822601,0.008102115917870231,0.061667646293297476,0.0027138569924154074,-0.05780789602158916,0.0072677904938952195,0.07540276636268223,-0.12274110374728157,-0.06418986337883963,0.11295467067931497,-0.22379071266195147,0.07904526280427261,0.11364550844784714,0.026110125268706708,-0.1185201971858561,-0.01693940896801726,-0.05779684380717583,0.4951797635936453,0.024910795658080354,-0.5433361335798883,0.1353512642329226,0.10023782862631703,0.06973435773904323,-0.015804310065548784,-0.042273802290601445,-0.045455253080954224,-0.07122342914249856,-0.0061708162830148156,0.02261002907205273,0.0534877129002319,0.02758396705292893,-0.03123335246113051,-0.03594320126347161,0.000314062480564814,0.05483911327481271,-0.012288992123101639,-0.0205358690181581,0.09535497123289077,0.03434996533427518,-0.10498490794013352,0.004201763976089054,-0.02984491736344122,-0.11686240679205237,-0.01868255823215082,0.14677873153140683,-0.06199188041386598,0.10374559508177053,-0.14149524865795365,-0.08235089054774504,0.10792261997043492,-0.04181502552121952,0.04864429139163508,-0.04068233754339909,0.036185512109716766,-0.026324700070032528,0.028005327068788805,-0.014157945143623688,0.13107460907696733,-0.009955450026424145,-0.0717649405702087,0.019255721246564897,0.0021131540225456102,-0.06864223913249654,-0.053926441860629934,0.08550186619995544,-0.00245815297290204,-0.0969998560407168,0.14481580574209224,0.11746184121226463,-0.16615179526782645,0.16363878904446516,-0.1470640398154105,0.033448429765217697,-0.005717414422722469,0.01635347290721864,-0.05983954113333839
14,7,0.00903062660399853,0.736675311968137,17.580477681844986,-1,train,0.18602178480335865,-0.027090360096779134,0.12989831150518824,-0.16512022798440346,-0.07843257052800537,0.1280892826136396,-0.07274714032704852,0.010371270009167877,0.0644406473421116,0.00416879873214755,-0.060595594592966005,0.009948711474096233,0.08110586166951711,-0.15002728719011033,-0.06812172161257922,0.13701991299781696,-0.2371805239243063,0.0756847808051872,0.10769740474036225,0.025805408670547716,-0.11285159839420483,-0.015113306017466369,-0.07014143401069144,0.5202572663426683,0.037640724123836844,-0.5722418516264041,0.15426322720464802,0.10034757689537684,0.0722023886379406,-0.01700665964224938,-0.03931520801823046,-0.051634550711389365,-0.07295890849657724,0.00178023789297993,0.021105549515997395,0.04606095401274009,0.026368370831641532,-0.03146992747803264,-0.03417597554540966,-4.805296575653879e-05,0.052906704905388034,-0.013889029730450819,-0.015825007209570915,0.0913127044341608,0.02626819120073709,-0.09722559615102574,0.00960378832813373,-0.03276637006996248,-0.11704522157090361,-0.022886412711000698,0.1466533459113748,-0.059927482608902946,0.10546528146301982,-0.1560127726698934,-0.08538146097152888,0.12123997522884539,-0.03775076214515488,0.04966353210112285,-0.04086901565066013,0.03664408749010609,-0.02568021220006146,0.03145844540402995,-0.01710732042031832,0.13277156309892346,-0.007911877252293219,-0.07522655720902297,0.01992885400942246,0.003931868852286066,-0.07429532646327244,-0.051807216266206046,0.09501008582989129,-0.005920460920045743,-0.08355325766064337,0.1496425612462659,0.1091940523230591,-0.17375395425857246,0.1599127562052821,-0.14695726285437202,0.032889892461416444,-0.004915358287028229,0.01534360072961723,-0.05973520118766141
15,7,0.00882867978904943,0.7416048379164897,17.382795108388546,-1,test,0.18602178480335865,-0.027090360096779134,0.12989831150518824,-0.16512022798440346,-0.07843257052800537,0.1280892826136396,-0.07274714032704852,0.010371270009167877,0.0644406473421116,0.00416879873214755,-0.060595594592966005,0.009948711474096233,0.08110586166951711,-0.15002728719011033,-0.06812172161257922,0.13701991299781696,-0.2371805239243063,0.0756847808051872,0.10769740474036225,0.025805408670547716,-0.11285159839420483,-0.015113306017466369,-0.07014143401069144,0.5202572663426683,0.037640724123836844,-0.5722418516264041,0.15426322720464802,0.10034757689537684,0.0722023886379406,-0.01700665964224938,-0.03931520801823046,-0.051634550711389365,-0.07295890849657724,0.00178023789297993,0.021105549515997395,0.04606095401274009,0.026368370831641532,-0.03146992747803264,-0.03417597554540966,-4.805296575653879e-05,0.052906704905388034,-0.013889029730450819,-0.015825007209570915,0.0913127044341608,0.02626819120073709,-0.09722559615102574,0.00960378832813373,-0.03276637006996248,-0.11704522157090361,-0.022886412711000698,0.1466533459113748,-0.059927482608902946,0.10546528146301982,-0.1560127726698934,-0.08538146097152888,0.12123997522884539,-0.03775076214515488,0.04966353210112285,-0.04086901565066013,0.03664408749010609,-0.02568021220006146,0.03145844540402995,-0.01710732042031832,0.13277156309892346,-0.007911877252293219,-0.07522655720902297,0.01992885400942246,0.003931868852286066,-0.07429532646327244,-0.051807216266206046,0.09501008582989129,-0.005920460920045743,-0.08355325766064337,0.1496425612462659,0.1091940523230591,-0.17375395425857246,0.1599127562052821,-0.14695726285437202,0.032889892461416444,-0.004915358287028229,0.01534360072961723,-0.05973520118766141
16,8,0.008993850311398658,0.7371071194740485,17.54464382390304,-1,train,0.1857328774562139,-0.02441107305243897,0.1376923951525254,-0.1591664048197272,-0.08677531633626362,0.12258748261736245,-0.06464527950041282,0.008162159177977902,0.061791468761638185,0.003197477195820659,-0.05891557373226715,0.008147165038727908,0.09163142763172494,-0.14975482805722917,-0.07779029004165652,0.1364915142077957,-0.23592950544046165,0.07798575277034572,0.11678389064269634,0.02556161230143722,-0.12581560266010142,-0.010130815446431275,-0.06653940215319637,0.5145295011944391,0.03180382596502393,-0.5631337907216519,0.15924778065460476,0.1025314738744035,0.07114634898976047,-0.017180843905933173,-0.04268383290569013,-0.047437420529629626,-0.071777597212524,-0.0058378440370769405,0.020753767899525044,0.05509353787801472,0.026672283599082844,-0.03262720257040756,-0.036464666871707345,-0.0003433950497772065,0.055900091701308295,-0.013035328127763764,-0.01617728521445497,0.08662631344560948,0.02695127906701486,-0.09388639435813667,0.007033164578153381,-0.03210363443254207,-0.11778745849245931,-0.02085293407803382,0.14602472366649877,-0.05847787743157425,0.1086089706006507,-0.1583344443728197,-0.08755384203447616,0.12227215859295479,-0.03866814084537605,0.05153181759914327,-0.040867109880227515,0.03887380366969698,-0.026116565771192694,0.03092122355849282,-0.017077106403603527,0.136056064986308,-0.007690001404336656,-0.07721559369914399,0.02162921387445967,0.0011603068905547825,-0.08365736362228919,-0.05410561748599117,0.10518150467080059,-0.009754236556525422,-0.10269029885555457,0.1529357096271706,0.12603193373607094,-0.1761222245647719,0.14594051893886226,-0.1478360369102104,0.033260066581302275,-0.004653095885161544,0.016582826909691286,-0.061205400823074206
17,8,0.009163727426174351,0.7373871317609678,17.709561574494643,-1,test,0.1857328774562139,-0.02441107305243897,0.1376923951525254,-0.1591664048197272,-0.08677531633626362,0.12258748261736245,-0.06464527950041282,0.008162159177977902,0.061791468761638185,0.003197477195820659,-0.05891557373226715,0.008147165038727908,0.09163142763172494,-0.14975482805722917,-0.07779029004165652,0.1364915142077957,-0.23592950544046165,0.07798575277034572,0.11678389064269634,0.02556161230143722,-0.12581560266010142,-0.010130815446431275,-0.06653940215319637,0.5145295011944391,0.03180382596502393,-0.5631337907216519,0.15924778065460476,0.1025314738744035,0.07114634898976047,-0.017180843905933173,-0.04268383290569013,-0.047437420529629626,-0.071777597212524,-0.0058378440370769405,0.020753767899525044,0.05509353787801472,0.026672283599082844,-0.03262720257040756,-0.036464666871707345,-0.0003433950497772065,0.055900091701308295,-0.013035328127763764,-0.01617728521445497,0.08662631344560948,0.02695127906701486,-0.09388639435813667,0.007033164578153381,-0.03210363443254207,-0.11778745849245931,-0.02085293407803382,0.14602472366649877,-0.05847787743157425,0.1086089706006507,-0.1583344443728197,-0.08755384203447616,0.12227215859295479,-0.03866814084537605,0.05153181759914327,-0.040867109880227515,0.03887380366969698,-0.026116565771192694,0.03092122355849282,-0.017077106403603527,0.136056064986308,-0.007690001404336656,-0.07721559369914399,0.02162921387445967,0.0011603068905547825,-0.08365736362228919,-0.05410561748599117,0.10518150467080059,-0.009754236556525422,-0.10269029885555457,0.1529357096271706,0.12603193373607094,-0.1761222245647719,0.14594051893886226,-0.1478360369102104,0.033260066581302275,-0.004653095885161544,0.016582826909691286,-0.061205400823074206
18,9,0.009084209155797046,0.735173136549711,17.63255677311586,-1,train,0.18605736420047617,-0.028894415492774862,0.13296938068597855,-0.1625227818747655,-0.08031281750122375,0.12409635823770358,-0.07441352241401414,0.014753979639547351,0.06577579149980371,0.0056485215513284,-0.0632240091063152,0.010360188285563482,0.07564025215754037,-0.15560463821532278,-0.06605155285066235,0.1448393029271861,-0.26332138722789916,0.08264002136065968,0.11349008366552776,0.02634306606413258,-0.11711624810014794,-0.015121961639673387,-0.05762011274550881,0.5053275546090826,0.02235180372550137,-0.5500738939818092,0.1672237374996177,0.09176088686296698,0.07021767002615245,-0.019360636975042846,-0.04443860379466368,-0.04377249376058533,-0.07096442970030514,-0.0049644264942230315,0.018799882501157827,0.05504413133123621,0.029178886276509778,-0.03746166354734843,-0.03530075825237946,-0.002339264440739572,0.056116609445738076,-0.014854005560273137,-0.01603874326858966,0.0886658093498774,0.02872446516273761,-0.0979039159977593,0.00869533588129355,-0.033033248423743965,-0.11524238850100699,-0.020670590675148898,0.14607055848945613,-0.061545409069290444,0.10851303996679298,-0.15395719944757846,-0.08551648151334823,0.11639984216485871,-0.03895161536563306,0.05358102326722963,-0.033912258002805215,0.039323842641065934,-0.03580187147194838,0.03228473468624966,-0.01106767820001928,0.12625019342545293,-0.012243163728397129,-0.06953827946699254,0.018218214646168004,0.0025852925713767128,-0.06455033116860949,-0.051446322908792606,0.08036057252018175,-0.0034726725594752747,-0.10081101862305941,0.175117124481927,0.1233064114944866,-0.1969847116855893,0.17368750212015663,-0.1429210864197437,0.03197316678624476,-0.0036866478870071287,0.020352753758638195,-0.0634409202822705
19,9,0.00834554048896505,0.7552433416588676,16.90047701204995,-1,test,0.18605736420047617,-0.028894415492774862,0.13296938068597855,-0.1625227818747655,-0.08031281750122375,0.12409635823770358,-0.07441352241401414,0.014753979639547351,0.06577579149980371,0.0056485215513284,-0.0632240091063152,0.010360188285563482,0.07564025215754037,-0.15560463821532278,-0.06605155285066235,0.1448393029271861,-0.26332138722789916,0.08264002136065968,0.11349008366552776,0.02634306606413258,-0.11711624810014794,-0.015121961639673387,-0.05762011274550881,0.5053275546090826,0.02235180372550137,-0.5500738939818092,0.1672237374996177,0.09176088686296698,0.07021767002615245,-0.019360636975042846,-0.04443860379466368,-0.04377249376058533,-0.07096442970030514,-0.0049644264942230315,0.018799882501157827,0.05504413133123621,0.029178886276509778,-0.03746166354734843,-0.03530075825237946,-0.002339264440739572,0.056116609445738076,-0.014854005560273137,-0.01603874326858966,0.0886658093498774,0.02872446516273761,-0.0979039159977593,0.00869533588129355,-0.033033248423743965,-0.11524238850100699,-0.020670590675148898,0.14607055848945613,-0.061545409069290444,0.10851303996679298,-0.15395719944757846,-0.08551648151334823,0.11639984216485871,-0.03895161536563306,0.05358102326722963,-0.033912258002805215,0.039323842641065934,-0.03580187147194838,0.03228473468624966,-0.01106767820001928,0.12625019342545293,-0.012243163728397129,-0.06953827946699254,0.018218214646168004,0.0025852925713767128,-0.06455033116860949,-0.051446322908792606,0.08036057252018175,-0.0034726725594752747,-0.10081101862305941,0.175117124481927,0.1233064114944866,-0.1969847116855893,0.17368750212015663,-0.1429210864197437,0.03197316678624476,-0.0036866478870071287,0.020352753758638195,-0.0634409202822705
